State,Season,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Rainfall_mm,Temperature_C,Humidity_percent,Irrigation_Type,Previous_Crop,Area_hectare,Crop,Yield_ton_per_hectare
Uttarakhand,Zaid,Black,8.32,126,75,141,332,21.85,79,Sprinkler,Potato,5.71,Cotton,4.66
Rajasthan,Kharif,Alluvial,7.76,146,61,90,236,17.63,55,Sprinkler,Jowar,7.41,Potato,6.3
Chhattisgarh,Rabi,Clay,7.26,106,59,48,660,20.49,58,Drip,Masoor,9.01,Pea,5.19
Punjab,Zaid,Red,8.37,121,91,104,316,38.1,69,Tube Well,Moong,9.65,Onion,4.26
Madhya Pradesh,Rabi,Black,7.73,101,73,79,1128,37.73,76,Tube Well,Pea,2.9,Gram,5.77
Jammu and Kashmir,Kharif,Loamy,5.75,63,67,59,801,22.8,80,Rainfed,Soybean,9.93,Bajra,5.61
Bihar,Kharif,Alluvial,6.85,22,81,119,998,16.27,69,Rainfed,Maize,1.2,Wheat,5.41
Madhya Pradesh,Rabi,Clay,7.65,129,47,11,436,21.23,46,Canal,Rice,4.01,Wheat,4.89
Chhattisgarh,Zaid,Loamy,6.44,79,14,85,216,18.76,35,Sprinkler,Potato,7.41,Barley,4.46
Uttarakhand,Kharif,Red,6.45,147,47,146,1253,13.56,88,Tube Well,Arhar,4.0,Cotton,7.67
Chhattisgarh,Zaid,Red,6.67,141,36,48,1203,35.39,69,Rainfed,Mustard,7.81,Mustard,6.61
Chhattisgarh,Zaid,Alluvial,5.94,23,23,25,316,16.53,48,Canal,Moong,3.63,Groundnut,2.64
Haryana,Rabi,Loamy,5.68,70,21,17,1121,33.74,69,Drip,Barley,1.86,Potato,2.88
Haryana,Kharif,Black,7.76,33,24,61,705,23.82,37,Rainfed,Groundnut,9.9,Soybean,1.23
Chhattisgarh,Zaid,Clay,6.21,120,12,55,290,33.63,84,Rainfed,Moong,6.37,Soybean,3.42
Chhattisgarh,Kharif,Sandy,7.51,118,27,45,419,21.16,69,Tube Well,Wheat,6.98,Rice,2.94
Chhattisgarh,Zaid,Black,5.95,94,37,128,1139,13.09,80,Canal,Soybean,6.65,Jowar,3.04
Haryana,Zaid,Red,6.53,113,38,102,516,33.36,82,Sprinkler,Mustard,2.68,Gram,5.05
Jammu and Kashmir,Rabi,Loamy,5.87,27,80,97,1476,29.96,59,Sprinkler,Jowar,2.38,Cotton,4.91
Jharkhand,Zaid,Alluvial,8.03,140,18,41,913,28.72,39,Canal,Barley,6.47,Onion,4.57
Haryana,Kharif,Alluvial,6.42,139,86,148,514,14.37,81,Canal,Arhar,5.01,Moong,4.91
Jammu and Kashmir,Kharif,Clay,8.45,25,75,134,1053,31.3,76,Sprinkler,Onion,7.62,Cotton,5.8
Jharkhand,Rabi,Loamy,8.05,88,44,48,299,35.16,44,Sprinkler,Soybean,8.87,Moong,1.89
Madhya Pradesh,Zaid,Loamy,6.08,50,11,34,870,21.24,38,Canal,Bajra,8.04,Moong,1.86
Haryana,Rabi,Red,6.95,73,31,72,392,14.76,57,Tube Well,Onion,6.13,Cotton,3.67
Bihar,Kharif,Loamy,7.81,43,62,13,324,24.66,89,Tube Well,Potato,3.68,Mustard,2.22
Jharkhand,Rabi,Clay,5.77,88,42,133,1440,27.47,79,Tube Well,Moong,8.01,Sugarcane,6.18
Uttar Pradesh,Zaid,Red,7.65,118,53,68,1177,16.53,48,Rainfed,Sugarcane,3.64,Mustard,5.44
Jharkhand,Zaid,Black,6.73,101,45,68,1094,38.58,37,Sprinkler,Mustard,9.58,Jowar,4.78
Madhya Pradesh,Rabi,Alluvial,7.08,91,92,55,820,19.03,39,Canal,Gram,0.99,Jowar,5.02
Jharkhand,Rabi,Loamy,5.94,78,40,134,1245,20.13,40,Tube Well,Groundnut,8.01,Masoor,4.93
Chhattisgarh,Kharif,Sandy,6.87,65,71,100,1163,32.37,35,Drip,Cotton,8.78,Barley,4.78
Uttarakhand,Zaid,Red,8.29,95,59,32,235,12.79,68,Canal,Arhar,1.73,Arhar,4.04
Haryana,Zaid,Black,5.63,51,97,14,825,34.98,30,Canal,Rice,2.93,Mustard,2.93
Uttar Pradesh,Zaid,Clay,7.11,76,88,11,1120,10.36,43,Sprinkler,Mustard,7.51,Rice,5.36
Punjab,Kharif,Black,7.24,100,81,120,700,21.68,89,Sprinkler,Mustard,1.01,Jowar,6.98
Haryana,Kharif,Loamy,7.27,22,20,120,702,35.1,74,Drip,Mustard,4.23,Arhar,3.58
Jharkhand,Kharif,Clay,6.4,91,91,115,1102,29.02,82,Sprinkler,Jowar,3.78,Masoor,6.39
Himachal Pradesh,Rabi,Sandy,7.22,129,65,120,328,29.28,40,Sprinkler,Maize,4.49,Gram,5.25
Bihar,Zaid,Red,7.87,121,56,107,356,27.99,65,Sprinkler,Wheat,1.81,Mustard,4.6
Delhi,Zaid,Clay,7.0,106,37,31,1363,37.77,62,Tube Well,Arhar,7.19,Wheat,6.5
Uttar Pradesh,Zaid,Loamy,7.12,60,97,11,1087,12.5,72,Canal,Maize,3.95,Sugarcane,4.66
Uttar Pradesh,Kharif,Black,8.24,25,95,43,1338,10.48,75,Rainfed,Maize,2.87,Soybean,1.6
Madhya Pradesh,Kharif,Alluvial,8.34,22,56,15,419,38.67,55,Sprinkler,Arhar,8.86,Jowar,0.26
Himachal Pradesh,Kharif,Alluvial,6.95,98,14,68,1114,33.36,31,Drip,Gram,3.33,Arhar,6.48
Jammu and Kashmir,Rabi,Black,7.55,27,62,68,530,38.11,46,Rainfed,Gram,9.91,Masoor,3.02
Punjab,Kharif,Sandy,6.48,100,82,118,951,15.0,47,Drip,Cotton,2.03,Arhar,6.7
Madhya Pradesh,Kharif,Alluvial,6.87,145,70,88,961,17.83,58,Canal,Barley,6.28,Rice,7.33
Punjab,Zaid,Clay,5.95,121,47,62,643,19.86,73,Tube Well,Groundnut,1.55,Soybean,3.26
Uttar Pradesh,Rabi,Clay,7.35,40,39,91,1427,33.51,32,Sprinkler,Cotton,4.61,Wheat,3.15
Madhya Pradesh,Rabi,Clay,7.19,62,53,101,1127,26.65,82,Canal,Sugarcane,8.31,Cotton,5.32
Jharkhand,Rabi,Loamy,5.93,38,36,83,810,29.77,86,Canal,Barley,7.71,Groundnut,2.47
Uttarakhand,Rabi,Loamy,7.08,99,93,112,834,35.38,81,Canal,Sugarcane,7.88,Arhar,8.36
Chhattisgarh,Zaid,Loamy,6.87,127,39,43,1025,23.74,41,Sprinkler,Jowar,9.81,Rice,5.38
Delhi,Rabi,Loamy,7.75,126,92,33,493,14.68,32,Drip,Barley,4.28,Jowar,3.69
Uttarakhand,Rabi,Sandy,6.85,55,20,57,530,31.24,83,Drip,Gram,8.23,Gram,3.02
Madhya Pradesh,Kharif,Loamy,7.13,120,27,98,1003,24.74,35,Sprinkler,Maize,4.81,Maize,7.53
Jammu and Kashmir,Kharif,Sandy,8.17,65,32,112,843,25.42,67,Tube Well,Soybean,6.8,Groundnut,2.91
Jharkhand,Kharif,Clay,6.87,25,91,123,987,24.23,46,Rainfed,Masoor,7.95,Pea,4.36
Rajasthan,Zaid,Clay,7.33,149,72,144,325,17.45,38,Sprinkler,Barley,8.89,Mustard,5.47
Haryana,Rabi,Clay,8.33,140,26,52,588,14.21,64,Rainfed,Jowar,4.21,Cotton,3.68
Punjab,Zaid,Clay,6.67,65,85,77,1441,39.61,30,Tube Well,Onion,7.84,Groundnut,4.34
Delhi,Rabi,Clay,8.02,146,38,120,985,15.17,51,Sprinkler,Gram,6.73,Arhar,7.65
Uttar Pradesh,Kharif,Sandy,6.59,45,48,31,1382,17.03,85,Sprinkler,Mustard,4.91,Sugarcane,3.95
Bihar,Kharif,Red,6.76,121,72,39,1381,24.43,45,Rainfed,Cotton,2.98,Cotton,6.26
Jharkhand,Rabi,Clay,6.42,33,67,132,692,29.69,71,Drip,Pea,8.35,Maize,3.98
Rajasthan,Kharif,Loamy,8.08,139,63,149,1197,13.74,81,Sprinkler,Potato,4.56,Sugarcane,7.11
Rajasthan,Kharif,Clay,7.23,92,45,138,1248,39.14,58,Sprinkler,Soybean,7.06,Potato,5.32
Delhi,Zaid,Red,7.08,49,44,21,340,19.12,55,Rainfed,Sugarcane,1.61,Gram,2.49
Jharkhand,Kharif,Clay,7.09,67,21,28,1373,33.36,79,Canal,Masoor,9.32,Sugarcane,4.15
Uttarakhand,Kharif,Loamy,7.63,141,59,64,445,18.86,84,Rainfed,Moong,8.58,Moong,5.21
Haryana,Zaid,Clay,7.89,25,21,18,1236,35.3,54,Rainfed,Gram,9.96,Barley,3.66
Jharkhand,Zaid,Red,8.16,24,31,60,1321,15.29,50,Drip,Moong,4.75,Soybean,4.4
Bihar,Rabi,Black,7.57,106,28,141,1149,29.75,42,Rainfed,Barley,1.75,Barley,6.81
Jharkhand,Zaid,Clay,6.08,25,26,82,1474,25.3,75,Drip,Bajra,4.42,Potato,3.13
Himachal Pradesh,Kharif,Alluvial,7.48,84,18,51,1005,15.16,80,Sprinkler,Masoor,3.88,Potato,2.69
Jharkhand,Kharif,Alluvial,6.34,45,11,18,1312,29.95,66,Sprinkler,Cotton,0.64,Sugarcane,4.79
Bihar,Rabi,Clay,7.17,46,77,76,370,22.5,46,Rainfed,Arhar,9.45,Pea,4.37
Himachal Pradesh,Rabi,Black,7.16,82,12,82,1028,36.34,79,Drip,Pea,2.28,Barley,6.06
Delhi,Zaid,Red,6.07,50,37,67,658,21.35,31,Tube Well,Barley,5.95,Maize,2.51
Delhi,Rabi,Black,8.44,89,73,17,205,24.56,51,Sprinkler,Gram,6.47,Barley,3.2
Uttar Pradesh,Kharif,Alluvial,7.56,40,57,58,1179,23.28,59,Sprinkler,Soybean,6.77,Sugarcane,6.13
Delhi,Kharif,Red,8.06,80,45,111,1079,14.61,57,Canal,Pea,4.36,Barley,6.27
Punjab,Zaid,Black,6.22,82,77,45,849,10.61,78,Sprinkler,Soybean,8.66,Soybean,0.95
Uttar Pradesh,Zaid,Red,7.72,112,44,21,299,34.99,68,Sprinkler,Wheat,6.34,Bajra,4.36
Haryana,Kharif,Sandy,7.05,55,64,68,1171,25.91,74,Tube Well,Soybean,7.03,Cotton,4.73
Bihar,Rabi,Clay,7.12,78,79,94,238,18.26,54,Sprinkler,Jowar,7.0,Moong,5.39
Madhya Pradesh,Rabi,Black,7.46,52,17,55,528,13.89,81,Rainfed,Cotton,9.76,Wheat,2.35
Uttar Pradesh,Kharif,Clay,6.81,130,24,110,356,29.11,71,Rainfed,Jowar,0.77,Potato,4.76
Delhi,Zaid,Clay,7.1,76,45,88,1453,26.31,35,Sprinkler,Masoor,4.76,Bajra,7.0
Chhattisgarh,Kharif,Alluvial,6.34,35,31,121,1282,29.55,38,Sprinkler,Soybean,2.59,Pea,2.75
Uttar Pradesh,Zaid,Clay,5.91,61,54,68,340,19.59,84,Canal,Maize,5.73,Sugarcane,2.94
Rajasthan,Kharif,Red,5.55,98,24,63,978,26.18,52,Tube Well,Potato,6.7,Rice,3.05
Delhi,Kharif,Clay,7.87,112,42,66,958,20.87,71,Sprinkler,Wheat,4.97,Wheat,5.94
Chhattisgarh,Rabi,Black,6.8,67,86,97,775,12.21,40,Canal,Cotton,5.75,Pea,4.69
Haryana,Rabi,Loamy,7.17,42,64,70,378,32.9,52,Tube Well,Masoor,5.26,Arhar,3.42
Jammu and Kashmir,Rabi,Clay,7.07,40,71,87,1277,24.13,68,Tube Well,Potato,9.76,Potato,7.09
Chhattisgarh,Kharif,Sandy,7.4,99,88,141,846,31.8,35,Drip,Potato,2.76,Arhar,6.17
Punjab,Kharif,Red,7.77,99,96,36,449,16.95,52,Sprinkler,Pea,9.97,Soybean,5.0
Haryana,Zaid,Loamy,6.9,62,92,22,254,26.86,43,Tube Well,Jowar,9.56,Bajra,2.63
Uttar Pradesh,Rabi,Red,6.83,32,87,34,478,39.66,40,Sprinkler,Pea,6.45,Bajra,1.76
Haryana,Zaid,Red,7.15,132,66,133,210,29.41,54,Canal,Jowar,1.05,Masoor,5.42
Uttar Pradesh,Rabi,Clay,7.55,51,74,72,1336,31.82,81,Sprinkler,Rice,1.74,Gram,6.28
Uttarakhand,Rabi,Alluvial,7.93,131,30,78,864,36.05,72,Drip,Gram,5.34,Pea,4.8
Punjab,Zaid,Red,6.17,148,60,79,845,10.02,32,Sprinkler,Sugarcane,6.54,Moong,7.09
Uttarakhand,Kharif,Loamy,7.29,50,58,99,1473,39.57,58,Sprinkler,Maize,7.08,Potato,5.05
Himachal Pradesh,Rabi,Alluvial,6.48,135,84,63,1470,17.3,87,Canal,Bajra,1.03,Jowar,9.17
Uttar Pradesh,Zaid,Black,6.75,78,32,116,1462,37.78,73,Drip,Sugarcane,7.47,Potato,6.49
Uttarakhand,Kharif,Loamy,7.56,112,63,91,1015,10.52,80,Tube Well,Wheat,7.85,Barley,7.72
Punjab,Zaid,Sandy,6.86,124,57,40,1128,24.53,81,Drip,Cotton,5.39,Jowar,6.6
Madhya Pradesh,Zaid,Red,8.01,49,57,137,395,19.97,76,Canal,Potato,8.98,Arhar,3.9
Jammu and Kashmir,Zaid,Red,7.8,81,68,148,1482,10.25,69,Drip,Sugarcane,3.67,Arhar,5.43
Haryana,Rabi,Loamy,6.07,55,13,110,1433,33.02,47,Tube Well,Cotton,8.66,Potato,4.64
Jharkhand,Rabi,Alluvial,7.94,26,41,89,944,11.85,47,Drip,Sugarcane,7.6,Jowar,1.21
Delhi,Zaid,Loamy,7.59,144,93,32,1296,16.28,52,Rainfed,Moong,2.24,Mustard,5.75
Uttarakhand,Rabi,Sandy,7.2,84,78,87,789,29.57,43,Drip,Barley,9.94,Rice,5.43
Chhattisgarh,Rabi,Loamy,6.33,137,12,30,818,34.77,41,Sprinkler,Sugarcane,9.82,Moong,3.38
Jammu and Kashmir,Rabi,Alluvial,7.19,53,36,103,1439,31.44,58,Tube Well,Potato,1.91,Groundnut,5.47
Rajasthan,Zaid,Clay,7.96,57,59,98,942,39.0,70,Rainfed,Cotton,4.12,Arhar,3.18
Chhattisgarh,Rabi,Alluvial,7.02,56,84,78,1098,35.8,37,Sprinkler,Cotton,0.75,Mustard,4.34
Uttar Pradesh,Rabi,Black,5.61,147,16,103,1117,37.21,55,Canal,Rice,7.62,Wheat,6.78
Haryana,Rabi,Alluvial,8.35,104,85,40,342,28.81,87,Sprinkler,Bajra,3.13,Onion,4.04
Haryana,Zaid,Clay,5.98,75,91,26,1018,13.91,51,Rainfed,Maize,2.59,Bajra,4.5
Uttar Pradesh,Kharif,Sandy,8.34,62,26,15,1009,30.15,38,Drip,Mustard,8.69,Groundnut,2.36
Jammu and Kashmir,Kharif,Red,6.91,66,97,25,352,32.1,37,Rainfed,Arhar,6.38,Mustard,2.23
Himachal Pradesh,Rabi,Sandy,7.76,115,11,147,1208,18.9,61,Drip,Cotton,2.12,Masoor,3.41
Jammu and Kashmir,Kharif,Clay,6.93,24,59,128,1266,34.37,53,Sprinkler,Pea,5.23,Soybean,6.06
Punjab,Zaid,Loamy,6.02,108,33,72,1119,28.92,83,Tube Well,Masoor,3.84,Pea,5.57
Rajasthan,Rabi,Sandy,8.38,148,69,85,221,12.57,40,Canal,Arhar,1.63,Rice,3.8
Uttar Pradesh,Rabi,Clay,7.23,78,53,16,770,39.95,87,Drip,Arhar,5.85,Sugarcane,3.65
Jammu and Kashmir,Kharif,Sandy,8.4,130,58,54,1241,36.57,86,Rainfed,Gram,6.7,Moong,4.65
Rajasthan,Kharif,Black,6.97,66,22,40,720,23.63,78,Tube Well,Bajra,1.8,Cotton,4.46
Rajasthan,Kharif,Clay,6.12,54,50,33,754,21.46,44,Tube Well,Wheat,1.07,Arhar,3.53
Delhi,Kharif,Red,7.58,57,29,59,256,39.32,31,Rainfed,Soybean,8.31,Arhar,2.87
Madhya Pradesh,Zaid,Black,6.57,22,97,89,1340,24.69,79,Rainfed,Sugarcane,6.23,Cotton,5.18
Madhya Pradesh,Rabi,Red,7.75,143,75,45,208,20.56,53,Sprinkler,Gram,9.47,Onion,3.54
Punjab,Rabi,Loamy,6.6,97,58,141,1389,19.24,40,Sprinkler,Sugarcane,7.73,Bajra,5.53
Jharkhand,Kharif,Alluvial,6.75,21,45,81,1483,31.42,47,Canal,Barley,7.67,Pea,2.57
Uttarakhand,Rabi,Red,7.49,25,39,137,722,37.64,62,Drip,Masoor,8.77,Soybean,4.05
Rajasthan,Rabi,Alluvial,8.05,123,15,63,670,33.43,50,Sprinkler,Groundnut,9.6,Wheat,4.11
Uttar Pradesh,Rabi,Red,6.37,37,79,137,841,34.83,53,Drip,Onion,0.83,Masoor,3.28
Uttar Pradesh,Kharif,Loamy,8.14,135,34,76,537,17.05,50,Tube Well,Wheat,4.51,Wheat,4.18
Chhattisgarh,Zaid,Clay,7.35,73,96,142,1472,22.56,85,Drip,Pea,9.13,Arhar,6.38
Himachal Pradesh,Kharif,Clay,8.21,20,95,24,1446,27.32,46,Rainfed,Wheat,8.65,Moong,5.25
Rajasthan,Rabi,Clay,6.1,132,32,142,938,22.16,40,Drip,Potato,3.4,Barley,7.15
Punjab,Zaid,Loamy,8.24,22,33,100,908,33.73,78,Rainfed,Cotton,8.29,Maize,2.66
Delhi,Zaid,Black,6.53,132,20,79,1488,15.84,48,Drip,Pea,3.65,Mustard,7.1
Madhya Pradesh,Kharif,Alluvial,5.54,137,82,87,993,38.3,35,Canal,Potato,9.54,Soybean,4.9
Punjab,Zaid,Loamy,7.96,69,51,124,225,36.8,52,Tube Well,Moong,4.27,Sugarcane,2.59
Haryana,Rabi,Black,6.41,145,55,72,1058,21.22,38,Tube Well,Gram,0.98,Barley,5.24
Rajasthan,Rabi,Red,6.54,140,29,86,1076,33.89,48,Rainfed,Arhar,8.5,Wheat,5.93
Uttarakhand,Kharif,Sandy,5.59,136,62,112,510,26.95,42,Rainfed,Arhar,6.77,Moong,4.63
Madhya Pradesh,Rabi,Black,7.57,96,79,64,1128,12.71,54,Canal,Jowar,4.95,Masoor,6.62
Haryana,Rabi,Sandy,6.03,83,40,115,976,32.12,81,Tube Well,Gram,3.82,Maize,4.78
Haryana,Zaid,Sandy,5.91,119,26,20,1418,33.16,87,Sprinkler,Gram,0.79,Rice,5.2
Haryana,Kharif,Alluvial,6.8,40,79,27,568,15.99,44,Drip,Pea,6.71,Arhar,4.92
Jammu and Kashmir,Kharif,Clay,5.73,77,27,134,449,33.74,63,Sprinkler,Mustard,2.84,Wheat,4.05
Rajasthan,Kharif,Alluvial,6.3,50,53,149,848,24.5,72,Sprinkler,Gram,8.7,Gram,5.83
Haryana,Zaid,Loamy,7.72,120,18,77,1477,30.95,78,Rainfed,Groundnut,9.43,Soybean,5.39
Bihar,Zaid,Sandy,5.64,75,65,136,906,34.88,68,Rainfed,Potato,7.08,Sugarcane,6.33
Madhya Pradesh,Kharif,Sandy,6.37,67,80,78,652,23.49,89,Canal,Sugarcane,1.88,Mustard,4.86
Delhi,Rabi,Alluvial,7.74,123,35,104,1426,26.05,36,Tube Well,Maize,8.49,Pea,4.91
Bihar,Rabi,Clay,5.5,46,14,91,427,24.43,51,Drip,Mustard,7.0,Wheat,3.97
Jammu and Kashmir,Kharif,Red,6.09,118,11,103,981,23.83,42,Canal,Arhar,9.55,Mustard,6.04
Jammu and Kashmir,Zaid,Black,8.42,100,42,137,948,26.88,74,Canal,Soybean,3.36,Pea,4.48
Punjab,Kharif,Sandy,6.0,92,56,52,1145,35.98,33,Tube Well,Pea,7.11,Pea,6.63
Haryana,Zaid,Red,7.7,97,71,46,352,32.09,71,Sprinkler,Gram,1.32,Pea,4.09
Haryana,Rabi,Black,8.14,148,49,147,485,36.09,77,Tube Well,Jowar,2.27,Rice,6.09
Himachal Pradesh,Zaid,Red,5.98,47,79,21,634,22.14,64,Rainfed,Arhar,9.0,Mustard,4.6
Uttarakhand,Zaid,Black,6.32,104,48,68,280,31.35,77,Drip,Moong,7.96,Soybean,4.54
Madhya Pradesh,Rabi,Sandy,7.68,83,69,110,691,21.71,49,Rainfed,Soybean,5.41,Moong,5.52
Jammu and Kashmir,Kharif,Loamy,8.35,111,73,25,848,24.78,48,Rainfed,Cotton,2.08,Arhar,4.88
Delhi,Rabi,Loamy,7.3,59,37,54,1405,34.99,80,Tube Well,Pea,8.22,Masoor,2.12
Chhattisgarh,Kharif,Sandy,7.41,50,69,114,334,37.97,47,Drip,Bajra,5.14,Arhar,3.31
Chhattisgarh,Kharif,Black,8.27,94,99,63,1003,27.29,54,Sprinkler,Rice,2.05,Cotton,5.1
Punjab,Zaid,Loamy,5.93,56,14,115,588,16.34,86,Tube Well,Moong,7.69,Cotton,3.24
Jammu and Kashmir,Rabi,Sandy,7.79,56,76,52,321,18.19,86,Canal,Sugarcane,4.75,Gram,6.22
Uttar Pradesh,Zaid,Sandy,6.97,117,86,148,1161,37.04,36,Rainfed,Rice,8.7,Groundnut,5.49
Rajasthan,Kharif,Alluvial,6.27,79,88,65,460,14.98,59,Canal,Jowar,5.71,Masoor,3.18
Punjab,Kharif,Alluvial,8.38,94,45,27,1258,17.71,37,Sprinkler,Masoor,1.31,Potato,4.3
Punjab,Rabi,Alluvial,6.67,105,45,143,1189,38.86,36,Tube Well,Bajra,5.57,Mustard,5.21
Uttar Pradesh,Rabi,Loamy,5.88,25,57,144,412,18.1,70,Sprinkler,Masoor,1.42,Bajra,3.26
Jharkhand,Zaid,Black,6.39,89,92,149,460,22.19,73,Drip,Jowar,8.69,Sugarcane,5.16
Uttar Pradesh,Rabi,Red,6.1,112,13,136,426,21.59,44,Sprinkler,Potato,4.05,Maize,4.54
Chhattisgarh,Kharif,Loamy,6.33,45,37,79,410,25.14,56,Sprinkler,Potato,9.74,Bajra,4.09
Madhya Pradesh,Zaid,Alluvial,7.51,51,58,104,1152,39.0,86,Tube Well,Bajra,9.07,Jowar,4.07
Madhya Pradesh,Kharif,Loamy,5.72,96,85,136,926,38.17,85,Tube Well,Pea,8.72,Wheat,4.44
Jammu and Kashmir,Kharif,Sandy,7.85,131,29,87,699,26.34,38,Drip,Arhar,8.66,Cotton,5.05
Haryana,Kharif,Sandy,8.13,134,82,74,401,17.39,67,Drip,Pea,1.33,Jowar,5.95
Delhi,Rabi,Red,6.71,20,92,135,887,15.52,57,Tube Well,Potato,3.63,Potato,4.35
Rajasthan,Zaid,Loamy,7.96,49,18,32,1066,21.48,40,Drip,Mustard,3.93,Sugarcane,3.15
Bihar,Rabi,Loamy,7.58,22,18,72,253,30.58,33,Drip,Soybean,6.27,Masoor,2.83
Uttar Pradesh,Rabi,Clay,5.67,94,99,97,520,24.22,43,Drip,Masoor,3.52,Groundnut,5.23
Haryana,Kharif,Loamy,6.83,54,53,53,1482,21.27,40,Rainfed,Maize,5.63,Arhar,5.88
Himachal Pradesh,Kharif,Sandy,8.44,108,94,33,1190,36.86,69,Canal,Cotton,1.38,Moong,4.4
Delhi,Kharif,Black,7.14,145,31,149,998,12.63,76,Canal,Mustard,3.23,Groundnut,7.53
Himachal Pradesh,Zaid,Clay,7.46,113,95,73,250,27.88,32,Tube Well,Cotton,9.53,Barley,3.58
Punjab,Zaid,Black,7.83,60,49,85,965,26.63,78,Tube Well,Jowar,7.82,Bajra,4.13
Himachal Pradesh,Zaid,Sandy,7.05,61,69,62,987,27.09,57,Canal,Jowar,0.66,Rice,4.81
Delhi,Zaid,Red,6.2,104,30,82,613,28.0,32,Canal,Wheat,4.72,Groundnut,4.62
Delhi,Rabi,Black,6.8,98,60,12,752,29.08,63,Drip,Sugarcane,3.93,Onion,5.81
Jharkhand,Rabi,Sandy,6.57,71,46,38,1201,28.88,85,Canal,Groundnut,4.45,Masoor,4.99
Delhi,Rabi,Clay,6.9,107,98,74,558,32.19,58,Sprinkler,Pea,3.45,Maize,4.65
Haryana,Zaid,Red,6.23,92,33,21,532,28.54,59,Tube Well,Masoor,4.01,Cotton,3.96
Himachal Pradesh,Zaid,Loamy,7.74,133,29,92,1396,20.57,48,Sprinkler,Onion,1.55,Cotton,5.76
Haryana,Rabi,Black,6.51,92,24,58,401,26.09,65,Sprinkler,Barley,2.5,Moong,3.46
Uttar Pradesh,Zaid,Red,6.51,57,82,94,610,33.15,46,Rainfed,Potato,9.42,Jowar,4.34
Madhya Pradesh,Zaid,Black,6.2,119,44,84,990,20.85,42,Canal,Cotton,1.45,Sugarcane,5.99
Madhya Pradesh,Zaid,Sandy,8.23,27,62,86,768,12.24,48,Tube Well,Potato,8.87,Gram,1.66
Punjab,Kharif,Alluvial,8.48,75,90,80,1468,21.31,62,Tube Well,Arhar,2.83,Moong,5.16
Uttar Pradesh,Zaid,Loamy,6.95,31,42,60,1118,14.94,58,Drip,Pea,0.76,Groundnut,4.13
Uttarakhand,Rabi,Black,5.52,104,18,91,838,39.18,61,Drip,Rice,5.1,Gram,3.41
Madhya Pradesh,Kharif,Black,5.77,130,83,112,263,14.0,46,Rainfed,Cotton,6.14,Barley,4.19
Jharkhand,Kharif,Black,6.55,76,13,115,234,18.52,67,Drip,Potato,8.5,Sugarcane,1.8
Uttarakhand,Zaid,Sandy,8.05,42,29,26,1351,15.42,62,Canal,Mustard,9.23,Moong,5.35
Jharkhand,Zaid,Sandy,6.78,118,51,105,1495,29.52,84,Drip,Sugarcane,5.93,Masoor,7.55
Uttar Pradesh,Zaid,Black,6.2,143,93,111,309,13.45,37,Tube Well,Groundnut,8.84,Bajra,3.76
Jharkhand,Kharif,Clay,5.79,58,71,117,1261,17.39,69,Sprinkler,Arhar,2.14,Groundnut,6.39
Bihar,Kharif,Clay,6.42,137,31,115,457,16.57,35,Canal,Rice,9.07,Maize,4.8
Punjab,Zaid,Black,6.66,147,22,96,331,27.36,74,Rainfed,Sugarcane,1.46,Onion,4.9
Madhya Pradesh,Rabi,Black,7.93,135,78,126,224,19.68,66,Tube Well,Masoor,8.94,Bajra,5.38
Delhi,Kharif,Alluvial,6.15,58,93,107,1375,37.09,41,Rainfed,Mustard,8.23,Bajra,6.12
Jharkhand,Rabi,Red,5.69,146,41,92,500,17.21,55,Rainfed,Gram,1.82,Maize,3.63
Chhattisgarh,Zaid,Loamy,8.23,20,18,91,1239,38.61,54,Drip,Potato,3.63,Onion,3.52
Madhya Pradesh,Zaid,Red,5.96,131,62,101,595,26.06,83,Canal,Pea,2.59,Moong,2.88
Chhattisgarh,Zaid,Black,7.91,59,49,63,624,15.37,61,Drip,Cotton,1.71,Cotton,2.93
Madhya Pradesh,Rabi,Clay,6.24,127,43,20,1313,33.96,57,Rainfed,Moong,5.45,Arhar,5.65
Jammu and Kashmir,Kharif,Alluvial,5.62,90,57,86,235,38.13,49,Sprinkler,Moong,0.52,Wheat,3.15
Rajasthan,Kharif,Red,8.44,39,59,134,1115,30.77,81,Sprinkler,Soybean,3.75,Groundnut,5.01
Jammu and Kashmir,Kharif,Alluvial,6.23,143,54,14,665,23.33,62,Rainfed,Potato,3.31,Cotton,5.04
Chhattisgarh,Kharif,Alluvial,8.17,39,96,45,381,27.26,42,Drip,Bajra,4.64,Barley,4.25
Jharkhand,Zaid,Red,7.26,82,22,119,299,27.92,80,Tube Well,Wheat,9.01,Masoor,2.71
Jharkhand,Zaid,Red,7.63,34,52,132,761,37.69,68,Sprinkler,Potato,8.18,Mustard,2.58
Uttar Pradesh,Zaid,Sandy,8.07,52,44,149,1461,13.54,69,Drip,Maize,5.66,Sugarcane,4.4
Rajasthan,Kharif,Alluvial,8.08,107,70,31,875,23.23,79,Tube Well,Potato,3.47,Maize,3.85
Chhattisgarh,Zaid,Black,7.39,72,39,33,437,33.62,75,Rainfed,Soybean,4.53,Pea,2.48
Bihar,Rabi,Loamy,8.03,100,60,127,476,21.27,89,Sprinkler,Gram,2.44,Rice,4.66
